Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C9",0603,88,0.1uf,
"C100, C101, C103, C104",0603,4,22uf,
C102,0603,1,22uf,
"C89, C92",0603,2,10u,
C90,0603,1,470pF,
C91,0805,1,2.2uF,
"C93, C96, C97, C98, C99",0603,5,10uf,
C94,0603,1,1uf,
C95,0603,1,0.1uf,
D1,0603,1,LED,
"D2, D3, D4, D5",0603,4,LED,
"IC1, IC2",74HC595DQ100118,2,74HC595D,
"J1, J4",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,2,Conn_01x02_Male,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J3,JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal,1,Conn_01x08,
L1,IND1uh,1,1uH,
LED2,0603,1,POW_LED,
"R1, R2",0603,2,5.1K,
R10,0603,1,20R,
"R11, R8",0603,2,2R,
"R12, R13, R14, R15, R16, R17, R18",0603,7,100k,
"R3, R4, R9",0603,3,10k,
"R5, R6",0603,2,27R,
R7,0603,1,470R,
"RGB1, RGB10, RGB11, RGB12, RGB13, RGB14, RGB15, RGB16, RGB17, RGB18, RGB19, RGB2, RGB20, RGB21, RGB22, RGB23, RGB24, RGB25, RGB26, RGB27, RGB28, RGB29, RGB3, RGB30, RGB31, RGB32, RGB33, RGB34, RGB35, RGB36, RGB37, RGB38, RGB39, RGB4, RGB40, RGB41, RGB42, RGB43, RGB44, RGB45, RGB46, RGB47, RGB48, RGB49, RGB5, RGB50, RGB51, RGB52, RGB53, RGB54, RGB55, RGB56, RGB57, RGB58, RGB59, RGB6, RGB60, RGB61, RGB62, RGB63, RGB64, RGB65, RGB66, RGB67, RGB68, RGB69, RGB7, RGB70, RGB71, RGB72, RGB73, RGB74, RGB75, RGB76, RGB77, RGB78, RGB79, RGB8, RGB80, RGB81, RGB82, RGB83, RGB84, RGB85, RGB86, RGB87, RGB88, RGB9",SK6812MINI-E_1,88,SK6812MINI-E_C5149201,
SW1,Tactile 3x4x2mm TS-A010,1,Boot,
SW2,Tactile 3x4x2mm TS-A010,1,RST,
SW3,SW-SMD_TS24CA,1,Boot,
U1,IP5306-SOP8,1,IP5306,
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U6,SOT-23-5,1,MIC5219-3.3YM5,
